run_id,primary_type,q_order,primary_depth,candidate_method,validation_accuracy,test_accuracy,delta_vs_fallback,delta_vs_previous_depth,structural_delta_vs_random,lift_implemented,relation_set_id,aggregation_level
controlled_C2_primary,2-primary,2,1,prime_C2_branch_lift,0.93,0.92,0.21000000000000008,,0.18000000000000005,True,controlled_C2_primary,controlled
controlled_C2_primary,2-primary,4,2,depth_C4_branch_lift,0.7,0.69,-0.020000000000000018,-0.2300000000000001,-0.050000000000000044,True,controlled_C2_primary,controlled
controlled_C2_primary,3-primary,3,1,prime_C3_branch_lift,0.7,0.69,-0.020000000000000018,,-0.050000000000000044,True,controlled_C2_primary,controlled
controlled_C2_primary,fallback,1,0,best_fallback,0.72,0.71,0.0,0.0,,True,,
controlled_C3_primary,2-primary,2,1,prime_C2_branch_lift,0.7,0.69,-0.020000000000000018,,-0.050000000000000044,True,controlled_C3_primary,controlled
controlled_C3_primary,2-primary,4,2,depth_C4_branch_lift,0.7,0.69,-0.020000000000000018,0.0,-0.050000000000000044,True,controlled_C3_primary,controlled
controlled_C3_primary,3-primary,3,1,prime_C3_branch_lift,0.93,0.92,0.21000000000000008,,0.18000000000000005,True,controlled_C3_primary,controlled
controlled_C3_primary,fallback,1,0,best_fallback,0.72,0.71,0.0,0.0,,True,,
controlled_C4_primary,2-primary,2,1,prime_C2_branch_lift,0.7,0.69,-0.020000000000000018,,-0.050000000000000044,True,controlled_C4_primary,controlled
controlled_C4_primary,2-primary,4,2,depth_C4_branch_lift,0.93,0.92,0.21000000000000008,0.2300000000000001,0.18000000000000005,True,controlled_C4_primary,controlled
controlled_C4_primary,3-primary,3,1,prime_C3_branch_lift,0.7,0.69,-0.020000000000000018,,-0.050000000000000044,True,controlled_C4_primary,controlled
controlled_C4_primary,fallback,1,0,best_fallback,0.72,0.71,0.0,0.0,,True,,
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,2-primary,2,1,prime_C2_branch_lift,0.8435,0.816,-0.01200000000000001,,0.010499999999999954,True,run::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,run_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,2-primary,2,1,prime_C2_branch_lift,0.8435,0.816,-0.01200000000000001,0.0,0.010499999999999954,True,setting::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,setting_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,2-primary,2,1,prime_C2_branch_lift,0.8435,0.816,-0.01200000000000001,0.0,0.010499999999999954,True,pooled::fashion_mnist::N3::W128::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,2-primary,4,2,depth_C4_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,run_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,2-primary,4,2,depth_C4_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,setting_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,2-primary,4,2,depth_C4_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W128::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,2-primary,8,3,depth_C8_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,run_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,2-primary,8,3,depth_C8_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,setting_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,2-primary,8,3,depth_C8_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W128::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,2-primary,16,4,depth_C16_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,run_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,2-primary,16,4,depth_C16_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,setting_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,2-primary,16,4,depth_C16_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W128::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,2-primary,32,5,depth_C32_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,run_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,2-primary,32,5,depth_C32_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,setting_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,2-primary,32,5,depth_C32_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W128::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,3-primary,3,1,prime_C3_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,run_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,3-primary,3,1,prime_C3_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,setting_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,3-primary,3,1,prime_C3_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W128::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,3-primary,9,2,depth_C9_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,run_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,3-primary,9,2,depth_C9_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,setting_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,3-primary,9,2,depth_C9_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W128::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,3-primary,27,3,depth_C27_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,run_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,3-primary,27,3,depth_C27_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,setting_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,3-primary,27,3,depth_C27_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W128::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,fallback,1,0,best_fallback,0.851,0.828,0.0,0.0,,True,,
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,mixed,6,1,mixed_C6_compatibility_control,,,,,,False,run::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,run_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,mixed,6,1,mixed_C6_compatibility_control,,,,,,False,setting::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,setting_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,mixed,6,1,mixed_C6_compatibility_control,,,,,,False,pooled::fashion_mnist::N3::W128::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,mixed,12,2,mixed_C12_compatibility_control,,,,,,False,run::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,run_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,mixed,12,2,mixed_C12_compatibility_control,,,,,,False,setting::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,setting_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,mixed,12,2,mixed_C12_compatibility_control,,,,,,False,pooled::fashion_mnist::N3::W128::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,mixed,18,2,mixed_C18_compatibility_control,,,,,,False,run::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,run_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,mixed,18,2,mixed_C18_compatibility_control,,,,,,False,setting::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,setting_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,mixed,18,2,mixed_C18_compatibility_control,,,,,,False,pooled::fashion_mnist::N3::W128::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,mixed,36,2,mixed_C36_compatibility_control,,,,,,False,run::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,run_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,mixed,36,2,mixed_C36_compatibility_control,,,,,,False,setting::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,setting_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4200,mixed,36,2,mixed_C36_compatibility_control,,,,,,False,pooled::fashion_mnist::N3::W128::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4201,2-primary,2,1,prime_C2_branch_lift,0.834,0.8065,-0.02100000000000002,,0.0,True,run::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4201,run_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4201,2-primary,2,1,prime_C2_branch_lift,0.834,0.8065,-0.02100000000000002,0.0,0.0,True,setting::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,setting_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4201,2-primary,2,1,prime_C2_branch_lift,0.834,0.8065,-0.02100000000000002,0.0,0.0,True,pooled::fashion_mnist::N3::W128::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4201,2-primary,4,2,depth_C4_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4201,run_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4201,2-primary,4,2,depth_C4_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation,setting_id
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4201,2-primary,4,2,depth_C4_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W128::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4201,2-primary,8,3,depth_C8_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W128_input_noise_monomial_activation_seed4201,run_id
