dataset,run_id,prime,peel_mode,edge,quotient_edge_label,representative_label,representative_generator_label,representative_disagreement_from_identity,representative_label_verified,representative_fit_label,edge_cochain_solve_status,representative_selection_status,original_map,correction_map,corrected_map,map_valid,map_type,quotient_residual_before,quotient_residual_after,permutation_cycle_residual_before,permutation_cycle_residual_after,residual_reduction
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,2,peel_p_only,0->0,0,0.0,0.0,0.0,,,exact_quotient_cochain_solve_sign_1,identity_representative,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63]",True,permutation,1.0,0.0,0.8046875,0.7109375,1.0
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,2,peel_p_only,0->1,1,1.0,1.0,0.734375,True,1.0,exact_quotient_cochain_solve_sign_1,observed_holonomy_power_representative,"[51,44,40,62,38,8,6,52,0,25,5,28,43,13,1,59,7,18,47,35,32,54,57,2,31,39,16,55,4,12,37,11,23,42,61,14,9,30,48,15,24,19,3,56,45,46,33,17,36,58,49,21,22,10,20,60,27,63,53,34,50,41,26,29]","[37,1,43,35,4,23,21,17,2,60,0,7,12,13,33,53,25,50,62,19,20,10,46,3,38,18,26,27,14,11,45,22,16,54,34,56,36,28,24,30,40,9,39,52,44,15,63,47,48,49,58,5,51,41,31,29,6,8,32,59,42,61,55,57]","[5,44,0,2,38,21,27,28,63,19,54,12,43,13,4,46,23,52,39,35,32,6,11,8,48,7,16,55,30,60,15,20,53,1,61,62,9,51,31,3,24,10,50,40,45,37,57,17,36,58,18,22,56,59,42,26,14,29,49,34,25,41,47,33]",True,permutation,1.0,0.0,0.8046875,0.7109375,1.0
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,2,peel_p_only,0->2,1,1.0,1.0,0.734375,True,1.0,exact_quotient_cochain_solve_sign_1,observed_holonomy_power_representative,"[49,1,15,16,2,22,33,50,62,40,27,20,63,36,61,55,60,13,0,21,31,34,44,5,9,43,53,14,54,52,28,7,42,37,45,48,11,51,57,46,47,56,58,17,24,32,38,3,12,59,39,41,6,29,26,4,19,10,23,18,25,35,30,8]","[37,1,43,35,4,23,21,17,2,60,0,7,12,13,33,53,25,50,62,19,20,10,46,3,38,18,26,27,14,11,45,22,16,54,34,56,36,28,24,30,40,9,39,52,44,15,63,47,48,49,58,5,51,41,31,29,6,8,32,59,42,61,55,57]","[27,1,62,5,2,41,19,20,10,56,34,52,63,36,54,32,42,50,43,21,31,33,7,22,57,60,53,14,51,4,46,26,23,61,45,16,11,49,9,58,47,29,25,15,24,28,44,3,12,59,13,6,17,55,37,30,48,8,39,18,40,35,0,38]",True,permutation,1.0,0.0,0.8046875,0.7109375,1.0
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,2,peel_p_only,0->3,0,0.0,0.0,0.0,,,exact_quotient_cochain_solve_sign_1,identity_representative,"[16,12,37,6,51,4,28,49,41,36,59,23,15,21,24,0,34,17,61,10,48,46,5,38,58,9,13,18,1,14,22,3,57,62,54,60,39,33,20,43,11,53,44,55,2,47,50,40,35,25,52,8,30,31,56,29,27,26,63,7,45,19,42,32]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63]","[16,12,37,6,51,4,28,49,41,36,59,23,15,21,24,0,34,17,61,10,48,46,5,38,58,9,13,18,1,14,22,3,57,62,54,60,39,33,20,43,11,53,44,55,2,47,50,40,35,25,52,8,30,31,56,29,27,26,63,7,45,19,42,32]",True,permutation,1.0,0.0,0.8046875,0.7109375,1.0
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,2,peel_p_only,1->0,1,1.0,1.0,0.734375,True,1.0,exact_quotient_cochain_solve_sign_1,observed_holonomy_power_representative,"[8,14,23,42,28,10,6,16,5,36,53,31,29,13,35,39,26,47,17,41,54,51,52,32,40,9,62,56,11,63,37,24,20,46,59,19,48,30,4,25,2,61,33,12,1,44,45,18,38,50,60,0,7,58,21,27,43,22,49,15,55,34,3,57]","[37,1,43,35,4,23,21,17,2,60,0,7,12,13,33,53,25,50,62,19,20,10,46,3,38,18,26,27,14,11,45,22,16,54,34,56,36,28,24,30,40,9,39,52,44,15,63,47,48,49,58,5,51,41,31,29,6,8,32,59,42,61,55,57]","[53,14,5,32,28,0,43,31,22,61,51,63,29,13,11,44,20,16,9,41,54,6,24,10,4,26,62,56,30,27,25,21,49,35,59,42,48,8,40,33,2,58,55,23,1,37,52,18,38,50,47,7,12,39,46,3,19,57,60,15,36,34,17,45]",True,permutation,1.0,0.0,0.8046875,0.7109375,1.0
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,2,peel_p_only,1->1,0,0.0,0.0,0.0,,,exact_quotient_cochain_solve_sign_1,identity_representative,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63]",True,permutation,1.0,0.0,0.8046875,0.7109375,1.0
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,2,peel_p_only,1->2,1,1.0,1.0,0.734375,True,1.0,exact_quotient_cochain_solve_sign_1,observed_holonomy_power_representative,"[45,61,5,46,38,21,8,1,15,4,20,44,50,36,7,28,0,29,24,52,54,10,53,42,51,40,34,19,49,33,26,22,30,11,39,9,6,56,12,43,17,35,37,32,63,27,57,31,60,23,25,2,13,3,48,47,41,59,62,55,58,14,16,18]","[37,1,43,35,4,23,21,17,2,60,0,7,12,13,33,53,25,50,62,19,20,10,46,3,38,18,26,27,14,11,45,22,16,54,34,56,36,28,24,30,40,9,39,52,44,15,63,47,48,49,58,5,51,41,31,29,6,8,32,59,42,61,55,57]","[20,61,15,42,38,2,41,44,59,35,10,33,50,36,49,27,30,1,40,52,54,8,22,21,12,0,34,19,56,47,43,48,62,7,39,46,6,45,51,37,17,3,58,5,63,26,53,31,60,23,29,13,32,28,11,16,9,18,25,55,4,14,24,57]",True,permutation,1.0,0.0,0.8046875,0.7109375,1.0
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,2,peel_p_only,1->3,0,0.0,0.0,0.0,,,exact_quotient_cochain_solve_sign_1,identity_representative,"[37,62,6,43,24,16,46,9,38,39,53,5,23,21,27,22,13,40,52,36,3,4,8,34,11,45,29,28,49,26,1,20,48,32,7,10,35,47,51,61,55,19,56,15,12,2,0,42,58,63,44,33,17,57,59,18,30,50,25,31,14,54,60,41]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63]","[37,62,6,43,24,16,46,9,38,39,53,5,23,21,27,22,13,40,52,36,3,4,8,34,11,45,29,28,49,26,1,20,48,32,7,10,35,47,51,61,55,19,56,15,12,2,0,42,58,63,44,33,17,57,59,18,30,50,25,31,14,54,60,41]",True,permutation,1.0,0.0,0.8046875,0.7109375,1.0
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,2,peel_p_only,2->0,1,1.0,1.0,0.734375,True,1.0,exact_quotient_cochain_solve_sign_1,observed_holonomy_power_representative,"[18,1,4,47,55,23,52,31,63,24,57,36,48,10,27,2,3,43,59,56,11,19,5,58,17,60,54,45,30,53,62,20,44,6,21,61,13,33,46,50,9,51,32,25,22,34,39,40,35,0,7,37,29,26,28,15,41,38,42,49,16,14,8,12]","[37,1,43,35,4,23,21,17,2,60,0,7,12,13,33,53,25,50,62,19,20,10,46,3,38,18,26,27,14,11,45,22,16,54,34,56,36,28,24,30,40,9,39,52,44,15,63,47,48,49,58,5,51,41,31,29,6,8,32,59,42,61,55,57]","[57,1,63,58,55,37,41,36,38,51,19,53,48,10,30,34,44,31,60,56,11,52,20,23,46,3,54,45,33,15,50,28,42,27,21,47,13,18,17,32,9,26,16,4,22,62,5,40,35,0,43,29,25,2,6,8,61,12,7,49,24,14,59,39]",True,permutation,1.0,0.0,0.8046875,0.7109375,1.0
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,2,peel_p_only,2->1,1,1.0,1.0,0.734375,True,1.0,exact_quotient_cochain_solve_sign_1,observed_holonomy_power_representative,"[16,7,51,53,9,2,36,14,6,35,21,33,38,52,61,8,62,40,63,27,10,5,31,49,18,50,30,45,15,17,32,47,43,29,26,41,13,42,4,34,25,56,23,39,11,0,3,55,54,28,12,24,19,22,20,59,37,46,60,57,48,1,58,44]","[37,1,43,35,4,23,21,17,2,60,0,7,12,13,33,53,25,50,62,19,20,10,46,3,38,18,26,27,14,11,45,22,16,54,34,56,36,28,24,30,40,9,39,52,44,15,63,47,48,49,58,5,51,41,31,29,6,8,32,59,42,61,55,57]","[21,7,6,49,9,24,37,33,46,56,5,17,38,52,15,0,43,14,50,27,10,36,47,2,4,62,30,45,42,59,34,20,60,61,26,53,13,16,18,23,25,22,48,51,11,32,31,55,54,28,40,19,39,8,29,58,41,44,12,57,35,1,63,3]",True,permutation,1.0,0.0,0.8046875,0.7109375,1.0
