residual_source,relation_set_id,aggregation_level,setting_id,dataset,architecture,n_models,width,domain_shift,matching,seed,relation_count,unique_triangle_count,unique_holonomy_count,observed_holonomy_order_lcm,v2_observed_order,v3_observed_order,primary_source,group_closure_status,group_order_if_exact,group_exponent_if_exact,v2_group_order_if_exact,v3_group_order_if_exact,v2_group_exponent_if_exact,v3_group_exponent_if_exact,noncentral_holonomy_score,relation_count_status,controlled_true_q
real,run::fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4200,run_id,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4200,1,1,1,150,1,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9900629320275555,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4200,run_id,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist,mlp,3,64,none,monomial_activation,4200,1,1,1,90,1,2,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.982264602843857,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4201,run_id,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4201,1,1,1,156,2,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9757809372497497,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4201,run_id,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist,mlp,3,64,none,monomial_activation,4201,1,1,1,1380,2,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9757809372497497,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4202,run_id,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4202,1,1,1,224,5,0,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9721462643938925,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,run_id,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist,mlp,3,64,none,monomial_activation,4202,1,1,1,1100,2,0,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9791528146183311,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4203,run_id,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4203,1,1,1,120,3,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9757809372497497,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,run_id,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist,mlp,3,64,none,monomial_activation,4203,1,1,1,228,2,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9791528146183311,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4204,run_id,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4204,1,1,1,1254,1,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9682458365518543,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,run_id,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist,mlp,3,64,none,monomial_activation,4204,1,1,1,3276,2,2,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9757809372497497,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4205,run_id,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4205,1,1,1,390,1,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9596345332990055,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4205,run_id,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist,mlp,3,64,none,monomial_activation,4205,1,1,1,46,1,0,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9682458365518543,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4206,run_id,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4206,1,1,1,1050,1,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9900629320275555,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4206,run_id,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist,mlp,3,64,none,monomial_activation,4206,1,1,1,312,3,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9721462643938925,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4207,run_id,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4207,1,1,1,222,1,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9757809372497497,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4207,run_id,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist,mlp,3,64,none,monomial_activation,4207,1,1,1,246,1,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9596345332990055,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4208,run_id,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4208,1,1,1,288,5,2,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9721462643938925,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4208,run_id,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist,mlp,3,64,none,monomial_activation,4208,1,1,1,6006,1,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9640764281813968,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4209,run_id,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4209,1,1,1,348,2,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9596345332990055,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4209,run_id,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist,mlp,3,64,none,monomial_activation,4209,1,1,1,258,1,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9757809372497497,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4210,run_id,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4210,1,1,1,420,2,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9791528146183311,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4210,run_id,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist,mlp,3,64,none,monomial_activation,4210,1,1,1,560,4,0,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9851187666342571,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4211,run_id,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4211,1,1,1,1026,1,3,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9757809372497497,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4211,run_id,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist,mlp,3,64,none,monomial_activation,4211,1,1,1,30,1,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9499177595981665,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4212,run_id,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4212,1,1,1,280,3,0,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9757809372497497,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4212,run_id,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist,mlp,3,64,none,monomial_activation,4212,1,1,1,460,2,0,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9721462643938925,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4213,run_id,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4213,1,1,1,570,1,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9851187666342571,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4213,run_id,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist,mlp,3,64,none,monomial_activation,4213,1,1,1,150,1,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9851187666342571,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4214,run_id,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4214,1,1,1,390,1,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9900629320275555,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4214,run_id,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist,mlp,3,64,none,monomial_activation,4214,1,1,1,696,3,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9877175393299442,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4215,run_id,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4215,1,1,1,2244,2,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9851187666342571,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4215,run_id,fashion_mnist_mlp_N3_W64_none_monomial_activation,fashion_mnist,mlp,3,64,none,monomial_activation,4215,1,1,1,132,2,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.982264602843857,underconstrained,
real,run::fashion_mnist_mlp_N3_W64_input_noise_monomial_activation_seed4216,run_id,fashion_mnist_mlp_N3_W64_input_noise_monomial_activation,fashion_mnist,mlp,3,64,input_noise,monomial_activation,4216,1,1,1,48,4,1,observed_holonomy_order,truncated_max_group_order,,,0,0,0,0,0.9596345332990055,underconstrained,
